Comparison,Stage 1 Model,Stage 2 Model,level_2,Stage 1 Time (s),S1 Accuracy,S1 Precision,S1 Recall,S1 F1 Score,S1 Confusion Matrix,Stage 2 Time (s),S2 Accuracy,S2 Precision,S2 Recall,S2 F1 Score,S2 Confusion Matrix,Combined Accuracy,Combined Precision,Combined Recall,Combined F1 Score,Combined Confusion Matrix,Test Dataset,level_1,S1 Train Time (s),S1 Test Time (s),S2 Train Time (s),S2 Test Time (s),Feature Count,Features
Classification Results,Decision Tree (Gini),Decision Tree (Gini),self,101.87173,1.0,1.0,1.0,1.0,[[6148166 139] [ 111 293215]],1.38966,1.0,1.0,1.0,1.0,[[263406 9] [ 2 29937]],1.0,1.0,1.0,1.0,[[6148166 133 6] [ 106 263273 3] [ 5 2 29937]],,,,,,,,
Classification Results,Decision Tree (Gini),Decision Tree (Gini),other,116.18426,0.9998,0.9998,0.9998,0.9998,[[6147702 603] [ 388 292938]],1.8197,0.9999,0.9999,0.9999,0.9999,[[263599 30] [ 8 29904]],0.9998,0.9998,0.9998,0.9998,[[6147702 579 24] [ 356 263020 6] [ 32 8 29904]],,,,,,,,
Classification Results,Decision Tree (Gini),Gradient Boosting,self,101.87173,1.0,1.0,1.0,1.0,[[6148166 139] [ 111 293215]],67.66664,0.9999,0.9999,0.9999,0.9999,[[263405 10] [ 6 29933]],1.0,1.0,1.0,1.0,[[6148166 137 2] [ 106 263268 8] [ 5 6 29933]],,,,,,,,
Classification Results,Decision Tree (Gini),Gradient Boosting,other,116.18426,0.9998,0.9998,0.9998,0.9998,[[6147702 603] [ 388 292938]],69.75049,0.9969,0.9969,0.9969,0.9969,[[263283 346] [ 569 29343]],0.9997,0.9997,0.9997,0.9997,[[6147702 575 28] [ 356 262708 318] [ 32 569 29343]],,,,,,,,
Classification Results,Decision Tree (Gini),KNN (k=5),self,101.87173,1.0,1.0,1.0,1.0,[[6148166 139] [ 111 293215]],2.02254,0.9999,0.9999,0.9999,0.9999,[[263390 25] [ 5 29934]],1.0,1.0,1.0,1.0,[[6148166 132 7] [ 106 263258 18] [ 5 5 29934]],,,,,,,,
Classification Results,Decision Tree (Gini),KNN (k=5),other,116.18426,0.9998,0.9998,0.9998,0.9998,[[6147702 603] [ 388 292938]],1.97829,0.9994,0.9994,0.9994,0.9994,[[263509 120] [ 51 29861]],0.9998,0.9998,0.9998,0.9998,[[6147702 540 63] [ 356 262969 57] [ 32 51 29861]],,,,,,,,
Classification Results,Decision Tree (Gini),Logistic Regression,self,101.87173,1.0,1.0,1.0,1.0,[[6148166 139] [ 111 293215]],4.11712,0.9206,0.913,0.9206,0.9154,[[255542 7873] [ 15419 14520]],0.9963,0.996,0.9963,0.9961,[[6148166 134 5] [ 106 255408 7868] [ 5 15419 14520]],,,,,,,,
Classification Results,Decision Tree (Gini),Logistic Regression,other,116.18426,0.9998,0.9998,0.9998,0.9998,[[6147702 603] [ 388 292938]],2.9818,0.9272,0.923,0.9272,0.9246,[[255110 8519] [ 12858 17054]],0.9965,0.9963,0.9965,0.9964,[[6147702 524 79] [ 356 254586 8440] [ 32 12858 17054]],,,,,,,,
Classification Results,Decision Tree (Gini),Naive Bayes,self,101.87173,1.0,1.0,1.0,1.0,[[6148166 139] [ 111 293215]],0.15481,0.3449,,0.3449,0.4077,[[ 71704 191711] [ 461 29478]],0.9701,0.9957,0.9701,0.973,[[6148166 18 121] [ 106 71686 191590] [ 5 461 29478]],,,,,,,,
Classification Results,Decision Tree (Gini),Naive Bayes,other,116.18426,0.9998,0.9998,0.9998,0.9998,[[6147702 603] [ 388 292938]],0.14629,0.342,,0.342,0.4041,[[ 70939 192690] [ 460 29452]],0.9699,0.9956,0.9699,0.9728,[[6147702 72 531] [ 356 70867 192159] [ 32 460 29452]],,,,,,,,
Classification Results,Decision Tree (Gini),Random Forest (Gini),self,101.87173,1.0,1.0,1.0,1.0,[[6148166 139] [ 111 293215]],27.68704,1.0,1.0,1.0,1.0,[[263411 4] [ 0 29939]],1.0,1.0,1.0,1.0,[[6148166 137 2] [ 106 263274 2] [ 5 0 29939]],,,,,,,,
Classification Results,Decision Tree (Gini),Random Forest (Gini),other,116.18426,0.9998,0.9998,0.9998,0.9998,[[6147702 603] [ 388 292938]],30.78183,0.9999,0.9999,0.9999,0.9999,[[263601 28] [ 3 29909]],0.9998,0.9998,0.9998,0.9998,[[6147702 578 25] [ 356 263023 3] [ 32 3 29909]],,,,,,,,
Classification Results,Gradient Boosting,Decision Tree (Gini),self,2932.70382,0.9983,0.9983,0.9983,0.9983,[[6145437 2868] [ 7900 285426]],1.57249,0.9997,0.9997,0.9997,0.9997,[[258415 76] [ 2 29801]],0.9983,0.9983,0.9983,0.9983,[[6145437 2795 73] [ 7759 255620 3] [ 141 2 29801]],,,,,,,,
Classification Results,Gradient Boosting,Decision Tree (Gini),other,2777.48179,0.9901,0.9901,0.9901,0.9897,[[6143726 4579] [ 58915 234411]],1.83172,0.9995,0.9995,0.9995,0.9995,[[213562 116] [ 9 25303]],0.9901,0.9901,0.9901,0.9897,[[6143726 4466 113] [ 54283 209096 3] [ 4632 9 25303]],,,,,,,,
Classification Results,Gradient Boosting,Gradient Boosting,self,2932.70382,0.9983,0.9983,0.9983,0.9983,[[6145437 2868] [ 7900 285426]],119.28155,0.9999,0.9999,0.9999,0.9999,[[258476 15] [ 6 29797]],0.9983,0.9983,0.9983,0.9983,[[6145437 2861 7] [ 7759 255615 8] [ 141 6 29797]],,,,,,,,
Classification Results,Gradient Boosting,Gradient Boosting,other,2777.48179,0.9901,0.9901,0.9901,0.9897,[[6143726 4579] [ 58915 234411]],70.2051,0.9974,0.9974,0.9974,0.9974,[[213358 320] [ 292 25020]],0.9901,0.99,0.9901,0.9896,[[6143726 4448 131] [ 54283 208910 189] [ 4632 292 25020]],,,,,,,,
Classification Results,Gradient Boosting,KNN (k=5),self,2932.70382,0.9983,0.9983,0.9983,0.9983,[[6145437 2868] [ 7900 285426]],2.33051,0.9989,0.9989,0.9989,0.9989,[[258184 307] [ 4 29799]],0.9983,0.9983,0.9983,0.9983,[[6145437 2577 291] [ 7759 255607 16] [ 141 4 29799]],,,,,,,,
