Stage 1 Model,Stage 1 Time (s),S1 Accuracy,S1 Precision,S1 Recall,S1 F1 Score,S1 Confusion Matrix,Stage 2 Model,Stage 2 Time (s),S2 Accuracy,S2 Precision,S2 Recall,S2 F1 Score,S2 Confusion Matrix,Combined Accuracy,Combined Precision,Combined Recall,Combined F1 Score,Combined Confusion Matrix
Decision Tree (Gini),101.87173,1.0000,1.0000,1.0000,1.0000,[[6148166 139] [ 111 293215]],Decision Tree (Gini),1.38966,1.0000,1.0000,1.0000,1.0000,[[263406 9] [ 2 29937]],1.0000,1.0000,1.0000,1.0000,[[6148166 133 6] [ 106 263273 3] [ 5 2 29937]]
Decision Tree (Gini),101.87173,1.0000,1.0000,1.0000,1.0000,[[6148166 139] [ 111 293215]],Random Forest (Gini),27.68704,1.0000,1.0000,1.0000,1.0000,[[263411 4] [ 0 29939]],1.0000,1.0000,1.0000,1.0000,[[6148166 137 2] [ 106 263274 2] [ 5 0 29939]]
Decision Tree (Gini),101.87173,1.0000,1.0000,1.0000,1.0000,[[6148166 139] [ 111 293215]],Naive Bayes,0.15481,0.3449,0.9058,0.3449,0.4077,[[ 71704 191711] [ 461 29478]],0.9701,0.9957,0.9701,0.9730,[[6148166 18 121] [ 106 71686 191590] [ 5 461 29478]]
Decision Tree (Gini),101.87173,1.0000,1.0000,1.0000,1.0000,[[6148166 139] [ 111 293215]],KNN (k=5),2.02254,0.9999,0.9999,0.9999,0.9999,[[263390 25] [ 5 29934]],1.0000,1.0000,1.0000,1.0000,[[6148166 132 7] [ 106 263258 18] [ 5 5 29934]]
Decision Tree (Gini),101.87173,1.0000,1.0000,1.0000,1.0000,[[6148166 139] [ 111 293215]],Gradient Boosting,67.66664,0.9999,0.9999,0.9999,0.9999,[[263405 10] [ 6 29933]],1.0000,1.0000,1.0000,1.0000,[[6148166 137 2] [ 106 263268 8] [ 5 6 29933]]
Decision Tree (Gini),101.87173,1.0000,1.0000,1.0000,1.0000,[[6148166 139] [ 111 293215]],Logistic Regression,4.11712,0.9206,0.9130,0.9206,0.9154,[[255542 7873] [ 15419 14520]],0.9963,0.9960,0.9963,0.9961,[[6148166 134 5] [ 106 255408 7868] [ 5 15419 14520]]
Random Forest (Gini),1925.22833,1.0000,1.0000,1.0000,1.0000,[[6148283 22] [ 147 293179]],Decision Tree (Gini),1.41484,1.0000,1.0000,1.0000,1.0000,[[263256 3] [ 2 29940]],1.0000,1.0000,1.0000,1.0000,[[6148283 22 0] [ 145 263234 3] [ 2 2 29940]]
Random Forest (Gini),1925.22833,1.0000,1.0000,1.0000,1.0000,[[6148283 22] [ 147 293179]],Random Forest (Gini),27.51724,1.0000,1.0000,1.0000,1.0000,[[263256 3] [ 0 29942]],1.0000,1.0000,1.0000,1.0000,[[6148283 21 1] [ 145 263235 2] [ 2 0 29942]]
Random Forest (Gini),1925.22833,1.0000,1.0000,1.0000,1.0000,[[6148283 22] [ 147 293179]],Naive Bayes,0.16206,0.3450,0.9057,0.3450,0.4077,[[ 71671 191588] [ 462 29480]],0.9702,0.9957,0.9702,0.9730,[[6148283 1 21] [ 145 71670 191567] [ 2 462 29480]]
Random Forest (Gini),1925.22833,1.0000,1.0000,1.0000,1.0000,[[6148283 22] [ 147 293179]],KNN (k=5),2.11893,0.9999,0.9999,0.9999,0.9999,[[263240 19] [ 5 29937]],1.0000,1.0000,1.0000,1.0000,[[6148283 20 2] [ 145 263220 17] [ 2 5 29937]]
