Stage 1 Model,Stage 1 Time (s),S1 Accuracy,S1 Precision,S1 Recall,S1 F1 Score,S1 Confusion Matrix,Stage 2 Model,Stage 2 Time (s),S2 Accuracy,S2 Precision,S2 Recall,S2 F1 Score,S2 Confusion Matrix,Combined Accuracy,Combined Precision,Combined Recall,Combined F1 Score,Combined Confusion Matrix
Decision Tree (Gini),116.18426,0.9998,0.9998,0.9998,0.9998,[[6147702 603] [ 388 292938]],Decision Tree (Gini),1.81970,0.9999,0.9999,0.9999,0.9999,[[263599 30] [ 8 29904]],0.9998,0.9998,0.9998,0.9998,[[6147702 579 24] [ 356 263020 6] [ 32 8 29904]]
Decision Tree (Gini),116.18426,0.9998,0.9998,0.9998,0.9998,[[6147702 603] [ 388 292938]],Random Forest (Gini),30.78183,0.9999,0.9999,0.9999,0.9999,[[263601 28] [ 3 29909]],0.9998,0.9998,0.9998,0.9998,[[6147702 578 25] [ 356 263023 3] [ 32 3 29909]]
Decision Tree (Gini),116.18426,0.9998,0.9998,0.9998,0.9998,[[6147702 603] [ 388 292938]],Naive Bayes,0.14629,0.3420,0.9058,0.3420,0.4041,[[ 70939 192690] [ 460 29452]],0.9699,0.9956,0.9699,0.9728,[[6147702 72 531] [ 356 70867 192159] [ 32 460 29452]]
Decision Tree (Gini),116.18426,0.9998,0.9998,0.9998,0.9998,[[6147702 603] [ 388 292938]],KNN (k=5),1.97829,0.9994,0.9994,0.9994,0.9994,[[263509 120] [ 51 29861]],0.9998,0.9998,0.9998,0.9998,[[6147702 540 63] [ 356 262969 57] [ 32 51 29861]]
Decision Tree (Gini),116.18426,0.9998,0.9998,0.9998,0.9998,[[6147702 603] [ 388 292938]],Gradient Boosting,69.75049,0.9969,0.9969,0.9969,0.9969,[[263283 346] [ 569 29343]],0.9997,0.9997,0.9997,0.9997,[[6147702 575 28] [ 356 262708 318] [ 32 569 29343]]
Decision Tree (Gini),116.18426,0.9998,0.9998,0.9998,0.9998,[[6147702 603] [ 388 292938]],Logistic Regression,2.98180,0.9272,0.9230,0.9272,0.9246,[[255110 8519] [ 12858 17054]],0.9965,0.9963,0.9965,0.9964,[[6147702 524 79] [ 356 254586 8440] [ 32 12858 17054]]
Random Forest (Gini),1905.38074,0.9999,0.9999,0.9999,0.9999,[[6148253 52] [ 481 292845]],Decision Tree (Gini),1.75780,0.9999,0.9999,0.9999,0.9999,[[262956 16] [ 9 29916]],0.9999,0.9999,0.9999,0.9999,[[6148253 42 10] [ 462 262914 6] [ 19 9 29916]]
Random Forest (Gini),1905.38074,0.9999,0.9999,0.9999,0.9999,[[6148253 52] [ 481 292845]],Random Forest (Gini),29.85760,0.9999,0.9999,0.9999,0.9999,[[262958 14] [ 2 29923]],0.9999,0.9999,0.9999,0.9999,[[6148253 41 11] [ 462 262917 3] [ 19 2 29923]]
Random Forest (Gini),1905.38074,0.9999,0.9999,0.9999,0.9999,[[6148253 52] [ 481 292845]],Naive Bayes,0.14421,0.3423,0.9057,0.3423,0.4043,[[ 70803 192169] [ 457 29468]],0.9700,0.9956,0.9700,0.9728,[[6148253 3 49] [ 462 70800 192120] [ 19 457 29468]]
Random Forest (Gini),1905.38074,0.9999,0.9999,0.9999,0.9999,[[6148253 52] [ 481 292845]],KNN (k=5),1.96799,0.9996,0.9996,0.9996,0.9996,[[262903 69] [ 43 29882]],0.9999,0.9999,0.9999,0.9999,[[6148253 39 13] [ 462 262864 56] [ 19 43 29882]]
Random Forest (Gini),1905.38074,0.9999,0.9999,0.9999,0.9999,[[6148253 52] [ 481 292845]],Gradient Boosting,69.44947,0.9969,0.9969,0.9969,0.9969,[[262640 332] [ 562 29363]],0.9998,0.9998,0.9998,0.9998,[[6148253 39 13] [ 462 262601 319] [ 19 562 29363]]
Random Forest (Gini),1905.38074,0.9999,0.9999,0.9999,0.9999,[[6148253 52] [ 481 292845]],Logistic Regression,2.99564,0.9272,0.9229,0.9272,0.9246,[[254514 8458] [ 12864 17061]],0.9966,0.9964,0.9966,0.9965,[[6148253 41 11] [ 462 254473 8447] [ 19 12864 17061]]
Naive Bayes,3.20446,0.9400,0.9259,0.9400,0.9323,[[6017065 131240] [ 255278 38048]],Decision Tree (Gini),1.78356,0.9853,0.9906,0.9853,0.9868,[[162353 2491] [ 0 4444]],0.9400,0.9271,0.9400,0.9323,[[6017065 128749 2491] [ 229778 33604 0] [ 25500 0 4444]]
Naive Bayes,3.20446,0.9400,0.9259,0.9400,0.9323,[[6017065 131240] [ 255278 38048]],Random Forest (Gini),30.17026,0.9980,0.9982,0.9980,0.9981,[[164508 336] [ 0 4444]],0.9400,0.9283,0.9400,0.9324,[[6017065 130904 336] [ 229778 33604 0] [ 25500 0 4444]]
Naive Bayes,3.20446,0.9400,0.9259,0.9400,0.9323,[[6017065 131240] [ 255278 38048]],Naive Bayes,0.14744,0.3242,0.9736,0.3242,0.4585,[[ 50500 114344] [ 56 4388]],0.9368,0.9263,0.9368,0.9284,[[6017065 37452 93788] [ 229778 13048 20556] [ 25500 56 4388]]
Naive Bayes,3.20446,0.9400,0.9259,0.9400,0.9323,[[6017065 131240] [ 255278 38048]],KNN (k=5),1.95405,0.8747,0.9783,0.8747,0.9146,[[143641 21203] [ 1 4443]],0.9400,0.9260,0.9400,0.9323,[[6017065 110043 21197] [ 229778 33598 6] [ 25500 1 4443]]
Naive Bayes,3.20446,0.9400,0.9259,0.9400,0.9323,[[6017065 131240] [ 255278 38048]],Gradient Boosting,69.66773,0.9785,0.9876,0.9785,0.9814,[[161298 3546] [ 96 4348]],0.9400,0.9267,0.9400,0.9323,[[6017065 127694 3546] [ 229778 33604 0] [ 25500 96 4348]]
Naive Bayes,3.20446,0.9400,0.9259,0.9400,0.9323,[[6017065 131240] [ 255278 38048]],Logistic Regression,2.94796,0.7918,0.9604,0.7918,0.8619,[[131669 33175] [ 2074 2370]],0.9395,0.9259,0.9395,0.9318,[[6017065 99110 32130] [ 229778 32559 1045] [ 25500 2074 2370]]
KNN (k=5),76.05623,0.9959,0.9959,0.9959,0.9959,[[6133048 15257] [ 11444 281882]],Decision Tree (Gini),1.81694,0.9993,0.9993,0.9993,0.9993,[[267954 206] [ 6 28973]],0.9959,0.9959,0.9959,0.9959,[[6133048 15054 203] [ 10479 252900 3] [ 965 6 28973]]
KNN (k=5),76.05623,0.9959,0.9959,0.9959,0.9959,[[6133048 15257] [ 11444 281882]],Random Forest (Gini),30.26414,0.9998,0.9998,0.9998,0.9998,[[268105 55] [ 0 28979]],0.9959,0.9959,0.9959,0.9959,[[6133048 15203 54] [ 10479 252902 1] [ 965 0 28979]]
KNN (k=5),76.05623,0.9959,0.9959,0.9959,0.9959,[[6133048 15257] [ 11444 281882]],Naive Bayes,0.13842,0.3387,0.9091,0.3387,0.4040,[[ 72121 196039] [ 460 28519]],0.9673,0.9926,0.9673,0.9704,[[6133048 2399 12858] [ 10479 69722 183181] [ 965 460 28519]]
KNN (k=5),76.05623,0.9959,0.9959,0.9959,0.9959,[[6133048 15257] [ 11444 281882]],KNN (k=5),2.02534,0.9938,0.9941,0.9938,0.9938,[[266323 1837] [ 20 28959]],0.9958,0.9959,0.9958,0.9959,[[6133048 13434 1823] [ 10479 252889 14] [ 965 20 28959]]
KNN (k=5),76.05623,0.9959,0.9959,0.9959,0.9959,[[6133048 15257] [ 11444 281882]],Gradient Boosting,69.89525,0.9971,0.9971,0.9971,0.9971,[[267842 318] [ 542 28437]],0.9957,0.9958,0.9957,0.9957,[[6133048 15205 52] [ 10479 252637 266] [ 965 542 28437]]
KNN (k=5),76.05623,0.9959,0.9959,0.9959,0.9959,[[6133048 15257] [ 11444 281882]],Logistic Regression,3.21317,0.9278,0.9243,0.9278,0.9258,[[259116 9044] [ 12417 16562]],0.9927,0.9925,0.9927,0.9926,[[6133048 14354 903] [ 10479 244762 8141] [ 965 12417 16562]]
Gradient Boosting,2777.48179,0.9901,0.9901,0.9901,0.9897,[[6143726 4579] [ 58915 234411]],Decision Tree (Gini),1.83172,0.9995,0.9995,0.9995,0.9995,[[213562 116] [ 9 25303]],0.9901,0.9901,0.9901,0.9897,[[6143726 4466 113] [ 54283 209096 3] [ 4632 9 25303]]
Gradient Boosting,2777.48179,0.9901,0.9901,0.9901,0.9897,[[6143726 4579] [ 58915 234411]],Random Forest (Gini),29.96604,0.9996,0.9996,0.9996,0.9996,[[213573 105] [ 2 25310]],0.9901,0.9901,0.9901,0.9897,[[6143726 4477 102] [ 54283 209096 3] [ 4632 2 25310]]
Gradient Boosting,2777.48179,0.9901,0.9901,0.9901,0.9897,[[6143726 4579] [ 58915 234411]],Naive Bayes,0.15545,0.3713,0.9066,0.3713,0.4365,[[ 63624 150054] [ 192 25120]],0.9674,0.9863,0.9674,0.9664,[[6143726 803 3776] [ 54283 62821 146278] [ 4632 192 25120]]
Gradient Boosting,2777.48179,0.9901,0.9901,0.9901,0.9897,[[6143726 4579] [ 58915 234411]],KNN (k=5),1.95151,0.9972,0.9973,0.9972,0.9972,[[213016 662] [ 11 25301]],0.9901,0.9901,0.9901,0.9897,[[6143726 3936 643] [ 54283 209080 19] [ 4632 11 25301]]
Gradient Boosting,2777.48179,0.9901,0.9901,0.9901,0.9897,[[6143726 4579] [ 58915 234411]],Gradient Boosting,70.20510,0.9974,0.9974,0.9974,0.9974,[[213358 320] [ 292 25020]],0.9901,0.9900,0.9901,0.9896,[[6143726 4448 131] [ 54283 208910 189] [ 4632 292 25020]]
Gradient Boosting,2777.48179,0.9901,0.9901,0.9901,0.9897,[[6143726 4579] [ 58915 234411]],Logistic Regression,3.22892,0.9283,0.9242,0.9283,0.9258,[[206931 6747] [ 10400 14912]],0.9876,0.9868,0.9876,0.9868,[[6143726 3669 910] [ 54283 203262 5837] [ 4632 10400 14912]]
Logistic Regression,71.24898,0.9478,0.9277,0.9478,0.9354,[[6077071 71234] [ 264701 28625]],Decision Tree (Gini),1.78103,0.9985,0.9988,0.9985,0.9986,[[98862 146] [ 0 851]],0.9478,0.9301,0.9478,0.9353,[[6077071 71089 145] [ 235608 27773 1] [ 29093 0 851]]
Logistic Regression,71.24898,0.9478,0.9277,0.9478,0.9354,[[6077071 71234] [ 264701 28625]],Random Forest (Gini),29.88965,0.9999,0.9999,0.9999,0.9999,[[98997 11] [ 0 851]],0.9478,0.9307,0.9478,0.9353,[[6077071 71225 9] [ 235608 27772 2] [ 29093 0 851]]
Logistic Regression,71.24898,0.9478,0.9277,0.9478,0.9354,[[6077071 71234] [ 264701 28625]],Naive Bayes,0.14396,0.2086,0.9913,0.2086,0.3332,[[19987 79021] [ 5 846]],0.9452,0.9365,0.9452,0.9319,[[6077071 9302 61932] [ 235608 10685 17089] [ 29093 5 846]]
Logistic Regression,71.24898,0.9478,0.9277,0.9478,0.9354,[[6077071 71234] [ 264701 28625]],KNN (k=5),1.96004,0.9560,0.9928,0.9560,0.9714,[[94617 4391] [ 1 850]],0.9478,0.9274,0.9478,0.9354,[[6077071 66853 4381] [ 235608 27764 10] [ 29093 1 850]]
Logistic Regression,71.24898,0.9478,0.9277,0.9478,0.9354,[[6077071 71234] [ 264701 28625]],Gradient Boosting,70.08526,0.9983,0.9983,0.9983,0.9983,[[98897 111] [ 62 789]],0.9478,0.9301,0.9478,0.9353,[[6077071 71203 31] [ 235608 27694 80] [ 29093 62 789]]
Logistic Regression,71.24898,0.9478,0.9277,0.9478,0.9354,[[6077071 71234] [ 264701 28625]],Logistic Regression,3.13499,0.9660,0.9835,0.9660,0.9746,[[96412 2596] [ 801 50]],0.9477,0.9263,0.9477,0.9351,[[6077071 68777 2457] [ 235608 27635 139] [ 29093 801 50]]
