Stage 1 Model,Stage 2 Model,Stage 1 Time (s),S1 Accuracy,S1 Precision,S1 Recall,S1 F1 Score,S1 Confusion Matrix,Stage 2 Time (s),S2 Accuracy,S2 Precision,S2 Recall,S2 F1 Score,S2 Confusion Matrix,Combined Accuracy,Combined Precision,Combined Recall,Combined F1 Score,Combined Confusion Matrix,WINNER_S1_Accuracy,WINNER_S1_Precision,WINNER_S1_Recall,WINNER_S1_F1_Score,WINNER_S2_Accuracy,WINNER_S2_Precision,WINNER_S2_Recall,WINNER_S2_F1_Score,WINNER_Combined_Accuracy,WINNER_Combined_Precision,WINNER_Combined_Recall,WINNER_Combined_F1_Score,WINNER_Stage_1_Time_(s),WINNER_Stage_2_Time_(s)
Decision Tree (Gini),Decision Tree (Gini),101.87173,1.0,1.0,1.0,1.0,[[6148166 139] [ 111 293215]],1.38966,1.0,1.0,1.0,1.0,[[263406 9] [ 2 29937]],1.0,1.0,1.0,1.0,[[6148166 133 6] [ 106 263273 3] [ 5 2 29937]],Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win
Decision Tree (Gini),Gradient Boosting,101.87173,1.0,1.0,1.0,1.0,[[6148166 139] [ 111 293215]],67.66664,0.9999,0.9999,0.9999,0.9999,[[263405 10] [ 6 29933]],1.0,1.0,1.0,1.0,[[6148166 137 2] [ 106 263268 8] [ 5 6 29933]],Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win
Decision Tree (Gini),KNN (k=5),101.87173,1.0,1.0,1.0,1.0,[[6148166 139] [ 111 293215]],2.02254,0.9999,0.9999,0.9999,0.9999,[[263390 25] [ 5 29934]],1.0,1.0,1.0,1.0,[[6148166 132 7] [ 106 263258 18] [ 5 5 29934]],Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,GitHub Win
Decision Tree (Gini),Logistic Regression,101.87173,1.0,1.0,1.0,1.0,[[6148166 139] [ 111 293215]],4.11712,0.9206,0.913,0.9206,0.9154,[[255542 7873] [ 15419 14520]],0.9963,0.996,0.9963,0.9961,[[6148166 134 5] [ 106 255408 7868] [ 5 15419 14520]],Local Win,Local Win,Local Win,Local Win,GitHub Win,GitHub Win,GitHub Win,GitHub Win,GitHub Win,GitHub Win,GitHub Win,GitHub Win,Local Win,GitHub Win
Decision Tree (Gini),Naive Bayes,101.87173,1.0,1.0,1.0,1.0,[[6148166 139] [ 111 293215]],0.15481,0.3449,0.9058,0.3449,0.4077,[[ 71704 191711] [ 461 29478]],0.9701,0.9957,0.9701,0.973,[[6148166 18 121] [ 106 71686 191590] [ 5 461 29478]],Local Win,Local Win,Local Win,Local Win,Local Win,Draw,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,GitHub Win
Decision Tree (Gini),Random Forest (Gini),101.87173,1.0,1.0,1.0,1.0,[[6148166 139] [ 111 293215]],27.68704,1.0,1.0,1.0,1.0,[[263411 4] [ 0 29939]],1.0,1.0,1.0,1.0,[[6148166 137 2] [ 106 263274 2] [ 5 0 29939]],Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win
Gradient Boosting,Decision Tree (Gini),2932.70382,0.9983,0.9983,0.9983,0.9983,[[6145437 2868] [ 7900 285426]],1.57249,0.9997,0.9997,0.9997,0.9997,[[258415 76] [ 2 29801]],0.9983,0.9983,0.9983,0.9983,[[6145437 2795 73] [ 7759 255620 3] [ 141 2 29801]],Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,Local Win
Gradient Boosting,Gradient Boosting,2932.70382,0.9983,0.9983,0.9983,0.9983,[[6145437 2868] [ 7900 285426]],119.28155,0.9999,0.9999,0.9999,0.9999,[[258476 15] [ 6 29797]],0.9983,0.9983,0.9983,0.9983,[[6145437 2861 7] [ 7759 255615 8] [ 141 6 29797]],Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,GitHub Win
Gradient Boosting,KNN (k=5),2932.70382,0.9983,0.9983,0.9983,0.9983,[[6145437 2868] [ 7900 285426]],2.33051,0.9989,0.9989,0.9989,0.9989,[[258184 307] [ 4 29799]],0.9983,0.9983,0.9983,0.9983,[[6145437 2577 291] [ 7759 255607 16] [ 141 4 29799]],Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,GitHub Win
Gradient Boosting,Logistic Regression,2932.70382,0.9983,0.9983,0.9983,0.9983,[[6145437 2868] [ 7900 285426]],5.62254,0.9184,0.9109,0.9184,0.9134,[[250274 8217] [ 15319 14484]],0.9948,0.9944,0.9948,0.9945,[[6145437 2377 491] [ 7759 247897 7726] [ 141 15319 14484]],Local Win,Local Win,Local Win,Local Win,GitHub Win,GitHub Win,GitHub Win,GitHub Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,GitHub Win
