Feature Count,Features,S1 Train Time (s),S1 Test Time (s),S2 Train Time (s),S2 Test Time (s),S1 Accuracy,S1 Precision,S1 Recall,S1 F1 Score,S1 Confusion Matrix,S2 Accuracy,S2 Precision,S2 Recall,S2 F1 Score,S2 Confusion Matrix,Combined Accuracy,Combined Precision,Combined Recall,Combined F1 Score,Combined Confusion Matrix
2,"SrcAddr, Label",1236.34169,22.41918,9.80697,1.06361,1.0000,1.0000,1.0000,1.0000,[[6148255 50] [ 0 293326]],0.8979,0.8063,0.8979,0.8496,[[263432 0] [ 29944 0]],0.9953,0.9912,0.9953,0.9931,[[6148255 50 0] [ 0 263382 0] [ 0 29944 0]]
3,"SrcAddr, Sport, Label",1420.62788,35.95722,40.50180,4.03878,1.0000,1.0000,1.0000,1.0000,[[6148274 31] [ 13 293313]],0.9178,0.9094,0.9178,0.9121,[[255312 8091] [ 16033 13908]],0.9962,0.9959,0.9962,0.9960,[[6148274 30 1] [ 10 255282 8090] [ 3 16033 13908]]
4,"Dport, SrcAddr, Sport, Label",1236.64455,38.70843,17.70596,1.38026,1.0000,1.0000,1.0000,1.0000,[[6148280 25] [ 3 293323]],1.0000,1.0000,1.0000,1.0000,[[263402 2] [ 0 29944]],1.0000,1.0000,1.0000,1.0000,[[6148280 24 1] [ 3 263378 1] [ 0 0 29944]]
5,"Dport, SrcAddr, Sport, DstAddr, Label",1638.89507,35.11601,23.20581,1.03343,1.0000,1.0000,1.0000,1.0000,[[6148281 24] [ 6 293320]],1.0000,1.0000,1.0000,1.0000,[[263402 0] [ 0 29942]],1.0000,1.0000,1.0000,1.0000,[[6148281 24 0] [ 4 263378 0] [ 2 0 29942]]
6,"Dport, SrcBytes, SrcAddr, Sport, DstAddr, Label",1704.76958,39.07212,25.52262,1.09673,1.0000,1.0000,1.0000,1.0000,[[6148285 20] [ 17 293309]],1.0000,1.0000,1.0000,1.0000,[[263386 2] [ 0 29941]],1.0000,1.0000,1.0000,1.0000,[[6148285 18 2] [ 14 263368 0] [ 3 0 29941]]
7,"Dport, SrcBytes, SrcAddr, TotBytes, Sport, DstAddr, Label",1857.47481,43.03154,26.66780,1.16844,1.0000,1.0000,1.0000,1.0000,[[6148287 18] [ 37 293289]],1.0000,1.0000,1.0000,1.0000,[[263362 2] [ 0 29943]],1.0000,1.0000,1.0000,1.0000,[[6148287 17 1] [ 36 263345 1] [ 1 0 29943]]
8,"Dport, SrcBytes, SrcAddr, TotBytes, State, Sport, DstAddr, Label",1690.58567,43.20278,26.04224,1.21213,1.0000,1.0000,1.0000,1.0000,[[6148284 21] [ 48 293278]],1.0000,1.0000,1.0000,1.0000,[[263353 2] [ 0 29944]],1.0000,1.0000,1.0000,1.0000,[[6148284 20 1] [ 48 263333 1] [ 0 0 29944]]
9,"Dport, SrcBytes, SrcAddr, TotBytes, State, Dur, Sport, DstAddr, Label",1872.16864,44.16986,27.98719,1.24685,1.0000,1.0000,1.0000,1.0000,[[6148284 21] [ 117 293209]],1.0000,1.0000,1.0000,1.0000,[[263285 2] [ 0 29943]],1.0000,1.0000,1.0000,1.0000,[[6148284 20 1] [ 116 263265 1] [ 1 0 29943]]
10,"Dport, SrcBytes, SrcAddr, tcp, TotBytes, State, Dur, Sport, DstAddr, Label",2402.79762,43.39537,34.04438,1.12800,1.0000,1.0000,1.0000,1.0000,[[6148287 18] [ 80 293246]],1.0000,1.0000,1.0000,1.0000,[[263317 3] [ 0 29944]],1.0000,1.0000,1.0000,1.0000,[[6148287 17 1] [ 80 263300 2] [ 0 0 29944]]
11,"Dport, SrcBytes, SrcAddr, TotPkts, tcp, TotBytes, State, Dur, Sport, DstAddr, Label",2349.33078,45.54329,32.34734,1.13820,1.0000,1.0000,1.0000,1.0000,[[6148286 19] [ 95 293231]],1.0000,1.0000,1.0000,1.0000,[[263303 3] [ 0 29944]],1.0000,1.0000,1.0000,1.0000,[[6148286 18 1] [ 95 263285 2] [ 0 0 29944]]
