Feature Count,Features,S1 Train Time (s),S1 Test Time (s),S2 Train Time (s),S2 Test Time (s),S1 Accuracy,S1 Precision,S1 Recall,S1 F1 Score,S1 Confusion Matrix,S2 Accuracy,S2 Precision,S2 Recall,S2 F1 Score,S2 Confusion Matrix,Combined Accuracy,Combined Precision,Combined Recall,Combined F1 Score,Combined Confusion Matrix
2,"SrcAddr, Label",3437.34406,34.42989,30.06039,1.64937,1.0000,1.0000,1.0000,1.0000,[[6148000 305] [ 0 293326]],0.8980,0.8064,0.8980,0.8498,[[263687 0] [ 29944 0]],0.9953,0.9911,0.9953,0.9931,[[6148000 305 0] [ 0 263382 0] [ 0 29944 0]]
3,"SrcAddr, Sport, Label",3302.00518,59.66542,81.83318,5.66547,0.9998,0.9998,0.9998,0.9998,[[6148034 271] [ 1326 292000]],0.9177,0.9110,0.9177,0.9135,[[253595 9034] [ 15034 14608]],0.9960,0.9957,0.9960,0.9958,[[6148034 207 64] [ 1024 253388 8970] [ 302 15034 14608]]
4,"SrcAddr, Dport, Sport, Label",2558.72659,57.43048,46.52028,2.14356,1.0000,1.0000,1.0000,1.0000,[[6148254 51] [ 58 293268]],1.0000,1.0000,1.0000,1.0000,[[263376 12] [ 2 29929]],1.0000,1.0000,1.0000,1.0000,[[6148254 39 12] [ 45 263337 0] [ 13 2 29929]]
5,"DstAddr, SrcAddr, Dport, Sport, Label",3462.64909,53.89781,65.69130,1.78250,1.0000,1.0000,1.0000,1.0000,[[6148268 37] [ 54 293272]],1.0000,1.0000,1.0000,1.0000,[[263390 2] [ 3 29914]],1.0000,1.0000,1.0000,1.0000,[[6148268 37 0] [ 27 263353 2] [ 27 3 29914]]
6,"SrcBytes, DstAddr, SrcAddr, Dport, Sport, Label",3407.33708,58.53987,70.43759,1.85147,1.0000,1.0000,1.0000,1.0000,[[6148268 37] [ 112 293214]],0.9999,0.9999,0.9999,0.9999,[[263322 12] [ 5 29912]],1.0000,1.0000,1.0000,1.0000,[[6148268 28 9] [ 85 263294 3] [ 27 5 29912]]
7,"TotBytes, SrcBytes, DstAddr, SrcAddr, Dport, Sport, Label",3523.22405,62.70109,68.20274,1.77203,1.0000,1.0000,1.0000,1.0000,[[6148247 58] [ 207 293119]],0.9999,0.9999,0.9999,0.9999,[[263243 12] [ 6 29916]],1.0000,1.0000,1.0000,1.0000,[[6148247 49 9] [ 185 263194 3] [ 22 6 29916]]
8,"TotBytes, State, SrcBytes, DstAddr, SrcAddr, Dport, Sport, Label",3289.90718,63.06714,64.67200,1.81699,1.0000,1.0000,1.0000,1.0000,[[6148268 37] [ 234 293092]],1.0000,1.0000,1.0000,1.0000,[[263195 8] [ 6 29920]],1.0000,1.0000,1.0000,1.0000,[[6148268 31 6] [ 216 263164 2] [ 18 6 29920]]
9,"TotBytes, Dur, State, SrcBytes, DstAddr, SrcAddr, Dport, Sport, Label",3577.45266,66.26511,69.07983,1.80803,0.9999,0.9999,0.9999,0.9999,[[6148263 42] [ 363 292963]],1.0000,1.0000,1.0000,1.0000,[[263072 9] [ 5 29919]],0.9999,0.9999,0.9999,0.9999,[[6148263 35 7] [ 343 263037 2] [ 20 5 29919]]
10,"TotBytes, Dur, State, SrcBytes, DstAddr, tcp, SrcAddr, Dport, Sport, Label",4523.40617,62.43604,81.93750,1.68260,1.0000,1.0000,1.0000,1.0000,[[6148256 49] [ 265 293061]],1.0000,1.0000,1.0000,1.0000,[[263173 9] [ 2 29926]],1.0000,1.0000,1.0000,1.0000,[[6148256 41 8] [ 249 263132 1] [ 16 2 29926]]
11,"TotBytes, Dur, State, SrcBytes, DstAddr, tcp, SrcAddr, Dport, Sport, TotPkts, Label",4310.51989,64.17902,77.03421,1.58914,0.9999,0.9999,0.9999,0.9999,[[6148254 51] [ 354 292972]],1.0000,1.0000,1.0000,1.0000,[[263080 12] [ 2 29929]],0.9999,0.9999,0.9999,0.9999,[[6148254 41 10] [ 341 263039 2] [ 13 2 29929]]
